Datetime,String,String,String,String,Datetime,Datetime
29Dec2019,Y4 000465 ,PBC,TIJ,N544VL,29Dec2019 17:01,29Dec2019 20:53
29Dec2019,Y4 000470 ,TIJ,CUN,N534VL,29Dec2019 09:47,29Dec2019 14:11
29Dec2019,Y4 000471 ,CUN,TIJ,N534VL,29Dec2019 14:51,29Dec2019 20:07
29Dec2019,Y4 000472 ,TIJ,CUU,N523VL,29Dec2019 01:00,29Dec2019 02:55
29Dec2019,Y4 000473 ,CUU,TIJ,N523VL,29Dec2019 03:32,29Dec2019 05:44
29Dec2019,Y4 000476 ,TIJ,CJS,XAVLC,29Dec2019 23:59,30Dec2019 01:51
29Dec2019,Y4 000482 ,TIJ,SLP,XAVRE,29Dec2019 13:00,29Dec2019 15:47
29Dec2019,Y4 000483 ,SLP,TIJ,XAVRE,29Dec2019 22:29,30Dec2019 01:43
29Dec2019,Y4 000490 ,TIJ,AGU,XAVRI,29Dec2019 08:55,29Dec2019 11:41
29Dec2019,Y4 000491 ,AGU,TIJ,XAVRI,29Dec2019 12:11,29Dec2019 15:15
29Dec2019,Y4 000500 ,TIJ,HMO,N526VL,29Dec2019 13:16,29Dec2019 14:40
29Dec2019,Y4 000501 ,HMO,TIJ,N526VL,29Dec2019 15:10,29Dec2019 16:40
29Dec2019,Y4 000502 ,TIJ,HMO,XAVLC,29Dec2019 03:34,29Dec2019 04:58
29Dec2019,Y4 000503 ,HMO,TIJ,XAVLC,29Dec2019 05:46,29Dec2019 07:16
29Dec2019,Y4 000510 ,TIJ,MTY,XAVLM,29Dec2019 10:15,29Dec2019 13:00
29Dec2019,Y4 000511 ,MTY,TIJ,N522VL,29Dec2019 02:12,29Dec2019 05:19
29Dec2019,Y4 000512 ,TIJ,MTY,XAVLK,29Dec2019 15:56,29Dec2019 18:41
29Dec2019,Y4 000513 ,MTY,TIJ,XAVLK,29Dec2019 19:36,29Dec2019 22:43
29Dec2019,Y4 000540 ,TIJ,OAX,XAVLC,29Dec2019 09:30,29Dec2019 13:13
29Dec2019,Y4 000541 ,OAX,TIJ,XAVLC,29Dec2019 14:00,29Dec2019 18:09
29Dec2019,Y4 000543 ,OAX,TIJ,XAVLD,29Dec2019 01:57,29Dec2019 06:06
29Dec2019,Y4 000546 ,TIJ,HUX,N544VL,29Dec2019 21:30,30Dec2019 01:20
29Dec2019,Y4 000550 ,TIJ,PVR,XAVLZ,29Dec2019 21:12,29Dec2019 23:52
29Dec2019,Y4 000551 ,PVR,TIJ,N534VL,29Dec2019 00:27,29Dec2019 03:22
29Dec2019,Y4 000560 ,TIJ,LMM,XAVLC,29Dec2019 18:48,29Dec2019 20:40
29Dec2019,Y4 000561 ,LMM,TIJ,XAVLC,29Dec2019 21:21,29Dec2019 23:22
29Dec2019,Y4 000562 ,TIJ,LMM,XAVRA,29Dec2019 21:26,29Dec2019 23:18
29Dec2019,Y4 000563 ,LMM,TIJ,XAVRA,29Dec2019 23:54,30Dec2019 01:55
29Dec2019,Y4 000580 ,TIJ,LAP,XAVLK,29Dec2019 23:23,30Dec2019 01:19
29Dec2019,Y4 000581 ,LAP,TIJ,XAVRI,29Dec2019 01:54,29Dec2019 04:00
29Dec2019,Y4 000590 ,TIJ,MZT,XAVRI,29Dec2019 16:27,29Dec2019 18:46
29Dec2019,Y4 000591 ,MZT,TIJ,XAVRI,29Dec2019 19:16,29Dec2019 21:49
29Dec2019,Y4 000601 ,CUN,GDL,N509VL,29Dec2019 21:01,29Dec2019 23:58
29Dec2019,Y4 000606 ,GDL,CUN,N509VL,29Dec2019 17:34,29Dec2019 20:22
29Dec2019,Y4 000607 ,CUN,GDL,XAVOY,29Dec2019 16:16,29Dec2019 19:13
29Dec2019,Y4 000608 ,MEX,LAP,N542VL,29Dec2019 12:11,29Dec2019 14:38
29Dec2019,Y4 000609 ,LAP,MEX,N542VL,29Dec2019 15:13,29Dec2019 17:32
29Dec2019,Y4 000612 ,MEX,SJD,XAVRC,29Dec2019 17:48,29Dec2019 20:09
29Dec2019,Y4 000615 ,CLQ,MEX,N517VL,29Dec2019 01:14,29Dec2019 02:41
29Dec2019,Y4 000616 ,MEX,AGU,XAVRD,29Dec2019 14:20,29Dec2019 15:49
29Dec2019,Y4 000617 ,AGU,MEX,XAVRD,29Dec2019 16:19,29Dec2019 17:50
29Dec2019,Y4 000619 ,CUN,GDL,XAVLQ,29Dec2019 13:00,29Dec2019 15:57
29Dec2019,Y4 000620 ,GDL,MXL,XAVLH,29Dec2019 11:40,29Dec2019 14:40
29Dec2019,Y4 000621 ,MXL,GDL,XAVLH,29Dec2019 15:18,29Dec2019 18:03
29Dec2019,Y4 000622 ,GDL,MXL,XAVLS,29Dec2019 03:51,29Dec2019 06:51
29Dec2019,Y4 000623 ,MXL,GDL,XAVLS,29Dec2019 07:22,29Dec2019 10:07
29Dec2019,Y4 000624 ,GDL,MXL,XAVRD,29Dec2019 02:11,29Dec2019 05:11
29Dec2019,Y4 000625 ,MXL,GDL,XAVRD,29Dec2019 05:42,29Dec2019 08:27
29Dec2019,Y4 000626 ,GDL,CJS,XAVLP,29Dec2019 12:09,29Dec2019 14:31
29Dec2019,Y4 000627 ,CJS,GDL,XAVLP,29Dec2019 15:01,29Dec2019 17:15
29Dec2019,Y4 000630 ,GDL,CUN,N525VL,29Dec2019 14:10,29Dec2019 16:58
29Dec2019,Y4 000633 ,CUN,GDL,N512VL,29Dec2019 23:11,30Dec2019 02:08
29Dec2019,Y4 000634 ,GDL,CUN,XAVOY,29Dec2019 12:51,29Dec2019 15:39
29Dec2019,Y4 000636 ,AGU,CUN,N533VL,29Dec2019 18:30,29Dec2019 21:01
29Dec2019,Y4 000637 ,CUN,AGU,N533VL,29Dec2019 15:12,29Dec2019 17:57
