Datetime,String,String,String,String,Datetime,Datetime,String,String,String,String,String
date_of_origin,flight_designator,departure_airport,arrival_airport,service_type,schedule_departure,schedule_arrival,aircraft_type,status_code,aircraft_owner,cockpit_employer,cabin_employer
29Dec2019,Y4 000301 ,DGO,GDL,J,29Dec2019 05:37,29Dec2019 06:47,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000777 ,CZM,MEX,J,29Dec2019 21:08,29Dec2019 23:50,32A,S,Y4,Y4,Y4
29Dec2019,Q6 004069 ,MEX,GUA,J,29Dec2019 01:39,29Dec2019 03:42,319,S,Q6,Q6,Q6
29Dec2019,Y4 000956 ,GDL,PDX,J,29Dec2019 15:28,29Dec2019 20:42,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000426 ,TIJ,GDL,J,29Dec2019 15:30,29Dec2019 18:22,21N,S,Y4,Y4,Y4
29Dec2019,Y4 000995 ,LAX,MEX,J,29Dec2019 01:10,29Dec2019 05:07,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000229 ,CUN,MTY,J,29Dec2019 21:25,30Dec2019 00:01,31A,S,Y4,Y4,Y4
29Dec2019,Y4 000830 ,TIJ,ZCL,J,29Dec2019 09:57,29Dec2019 12:37,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000817 ,MEX,TIJ,J,29Dec2019 15:06,29Dec2019 19:00,320,S,Y4,Y4,Y4
29Dec2019,Y4 000793 ,CUL,MEX,J,29Dec2019 14:07,29Dec2019 16:09,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000991 ,OAK,MLM,J,29Dec2019 22:30,30Dec2019 02:30,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000460 ,TIJ,PBC,J,29Dec2019 17:10,29Dec2019 20:38,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000441 ,MLM,TIJ,J,29Dec2019 12:00,29Dec2019 15:26,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000759 ,MID,MEX,J,29Dec2019 14:55,29Dec2019 17:06,21N,S,Y4,Y4,Y4
29Dec2019,Y4 000510 ,TIJ,MTY,J,29Dec2019 10:15,29Dec2019 13:00,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000242 ,GDL,SJD,J,29Dec2019 22:22,29Dec2019 23:59,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000194 ,MTY,MID,J,29Dec2019 21:43,29Dec2019 23:45,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000914 ,GDL,LAX,J,29Dec2019 04:03,29Dec2019 07:45,320,S,Y4,Y4,Y4
29Dec2019,Y4 000406 ,TIJ,CEN,J,29Dec2019 22:39,30Dec2019 00:13,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000966 ,MEX,LAS,J,29Dec2019 16:03,29Dec2019 20:13,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000638 ,BJX,CUN,J,29Dec2019 19:38,29Dec2019 22:07,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000190 ,MTY,CUN,J,29Dec2019 11:58,29Dec2019 14:18,31A,S,Y4,Y4,Y4
29Dec2019,Y4 000622 ,GDL,MXL,J,29Dec2019 03:51,29Dec2019 06:51,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000771 ,LAP,MEX,J,29Dec2019 21:50,30Dec2019 00:09,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000437 ,GDL,TIJ,J,29Dec2019 17:19,29Dec2019 20:32,321,S,Y4,Y4,Y4
29Dec2019,Y4 000213 ,CUN,MTY,J,29Dec2019 23:02,30Dec2019 01:38,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000831 ,ZCL,TIJ,J,29Dec2019 13:07,29Dec2019 16:05,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000165 ,MXL,CUL,J,29Dec2019 21:52,29Dec2019 23:47,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000683 ,HMO,GDL,J,29Dec2019 03:25,29Dec2019 05:31,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000500 ,TIJ,HMO,J,29Dec2019 13:16,29Dec2019 14:40,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000784 ,MEX,PVR,J,29Dec2019 18:17,29Dec2019 19:56,21N,S,Y4,Y4,Y4
29Dec2019,Y4 000164 ,CUL,MXL,J,29Dec2019 19:06,29Dec2019 21:12,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000818 ,TIJ,MEX,J,29Dec2019 01:38,29Dec2019 05:12,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000931 ,SJC,GDL,J,29Dec2019 19:45,29Dec2019 23:26,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000274 ,CUU,MXL,J,29Dec2019 16:56,29Dec2019 18:48,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000948 ,ZCL,MDW,J,29Dec2019 23:43,30Dec2019 03:23,319,S,Y4,Y4,Y4
29Dec2019,Y4 000448 ,TIJ,MID,J,29Dec2019 07:46,29Dec2019 11:57,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000275 ,MXL,CUU,J,29Dec2019 19:18,29Dec2019 20:54,32N,S,Y4,Y4,Y4
