Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
84457.5014123321	84451.1196598411	441.2916235006	84457.6820672552	84457.5014123321	0.0004307358	0.0186666667	0.5333333333	
84456.7478389541	84451.1196598411	440.7368991858	84457.3683042328	84456.7478389541	0.0005189551	0.1673333333	0.5333333333	
84456.3076826930	84450.3224834800	440.8205117868	84456.6478855411	84456.3076826930	0.0006971360	0.0626666667	0.5333333333	
84455.1845692595	84450.1747950912	440.3305492621	84456.0383394361	84455.1845692595	0.0005942203	0.0433333333	0.5333333333	
84454.3855330348	84450.1747950912	440.3524554684	84455.0213600198	84454.3855330348	0.0005147543	0.0226666667	0.5333333333	
84453.7811083595	84447.9662403464	440.4397874905	84454.0944873293	84453.7811083595	0.0001954124	0.0693333333	0.5333333333	
84452.9020468394	84445.5188527703	440.8363684778	84453.5337701440	84452.9020468394	0.0007143943	0.1746666667	0.5333333333	
84450.6564346949	84445.3509673476	440.5091890174	84452.5913667679	84450.6564346949	0.0006396684	0.1213333333	0.5333333333	
84449.6363959710	84444.7770640254	439.9332733268	84450.1731449366	84449.6363959710	0.0005024669	0.0560000000	0.5333333333	
84448.8988947868	84444.3354085088	439.9640505703	84449.3657475710	84448.8988947868	0.0004825134	0.0560000000	0.5333333333	
84447.1404065688	84442.5866171718	440.1032531615	84448.4492365519	84447.1404065688	0.0004704113	0.1940000000	0.5333333333	
84445.8025701841	84442.5866171718	440.8017775384	84446.0675253471	84445.8025701841	0.0004998974	0.0520000000	0.5666666667	
84445.4979185263	84442.5866171718	440.6682893112	84445.7066168388	84445.4979185263	0.0002027119	0.0793333333	0.5666666667	
84444.2955780029	84442.0704409480	441.3037882327	84445.1007505258	84444.2955780029	0.0009671229	0.1520000000	0.5666666667	
84443.5519159834	84442.0704409480	441.1629899218	84444.2425000668	84443.5519159834	0.0006835649	0.0253333333	0.5666666667	
84442.7655681968	84442.0704409480	441.4528705570	84443.1683755914	84442.7655681968	0.0003357492	0.0746666667	0.5666666667	
84442.3527251681	84442.0704409480	441.2649769388	84442.7127207319	84442.3527251681	0.0004639779	0.0060000000	0.5666666667	
84441.9732323289	84442.0704409480	441.4601243452	84442.3275586963	84441.9732323289	0.0002316179	0.0126666667	0.5666666667	
84441.2951841950	84442.0704409480	441.4063917457	84441.7703824242	84441.2951841950	0.0003339496	0.0120000000	0.5666666667	
84440.7973292470	84442.0704409480	441.2114872094	84440.8680106203	84440.7973292470	0.0000754658	0.0273333333	0.5666666667	
84440.0792430838	84441.5133550763	441.3644328837	84440.3760974606	84440.0792430838	0.0003994123	0.0306666667	0.5666666667	
84439.5971827706	84441.5133550763	441.5964614634	84439.7863216202	84439.5971827706	0.0001301938	0.0153333333	0.5666666667	
84438.7960007787	84441.4266034961	442.1136507312	84439.5198477308	84438.7960007787	0.0004847354	0.0506666667	0.5666666667	
84437.9197175304	84439.3907323480	442.5203574944	84438.4084225694	84437.9197175304	0.0004334655	0.0500000000	0.5666666667	
84437.0158093174	84439.3907323480	442.5238398534	84437.6314633091	84437.0158093174	0.0003147863	0.0206666667	0.6000000000	
84436.2573060393	84437.9803523421	442.7536499154	84436.7119217912	84436.2573060393	0.0005352415	0.0233333333	0.6000000000	
84436.1290338635	84437.3904243112	442.7948871172	84436.1530910929	84436.1290338635	0.0001462182	0.0013333333	0.6000000000	
84435.8673541745	84437.2161254287	442.8349865600	84436.0132268071	84435.8673541745	0.0002111828	0.0686666667	0.6000000000	
84435.2034863830	84437.2161254287	442.3499096003	84435.3492690126	84435.2034863830	0.0002299015	0.0280000000	0.6000000000	
