Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
84548.6804370085	84478.2779589295	375.8954879763	84549.6408906579	84548.6804370085	0.0011069314	0.1340000000	0.5666666667	
84547.4641738335	84477.2911205888	375.5123715649	84547.9704443614	84547.4641738335	0.0007124673	0.1180000000	0.5666666667	
84545.8094267050	84475.1494392753	374.9415298947	84546.4861959219	84545.8094267050	0.0004733524	0.0440000000	0.5666666667	
84544.6588557959	84474.5411649346	375.3232086131	84545.6124373277	84544.6588557959	0.0008965458	0.1586666667	0.5666666667	
84543.4834349155	84474.0823939443	376.7437011647	84543.8877995809	84543.4834349155	0.0003183262	0.0533333333	0.5666666667	
84542.3610285918	84473.2673659921	376.1486254729	84542.9863019784	84542.3610285918	0.0007667920	0.0780000000	0.5666666667	
84541.2015893062	84473.2350721955	376.3922075455	84541.7857102553	84541.2015893062	0.0005659994	0.1913333333	0.5666666667	
84540.0092764695	84472.2986236215	377.5400409868	84540.8000942071	84540.0092764695	0.0004596815	0.0986666667	0.5666666667	
84538.9119507869	84472.2005739808	378.3198546483	84539.4281315804	84538.9119507869	0.0006324831	0.0720000000	0.5666666667	
84537.8494813045	84472.1310570836	378.4471414417	84538.7596958876	84537.8494813045	0.0009167016	0.1160000000	0.5666666667	
84536.7760072152	84472.1310570836	378.5297212197	84537.2992326816	84536.7760072152	0.0008356589	0.0846666667	0.5666666667	
84534.9895553788	84471.7998042703	377.8113091791	84536.3210952282	84534.9895553788	0.0004952508	0.1266666667	0.5666666667	
84532.2890181343	84471.5574279428	377.8437007181	84534.1866720716	84532.2890181343	0.0008390274	0.0880000000	0.5666666667	
84531.3963833451	84471.5574279428	377.8934946212	84531.6678558787	84531.3963833451	0.0005300553	0.0213333333	0.5666666667	
84530.1209411025	84471.0169270635	377.7028254377	84531.1039275924	84530.1209411025	0.0005709761	0.0313333333	0.5666666667	
84528.7803056836	84468.3291777968	377.8610993639	84529.7924728195	84528.7803056836	0.0005421192	0.1146666667	0.5666666667	
84526.7858983080	84468.3291777968	376.5460253091	84527.9925508301	84526.7858983080	0.0007000155	0.0593333333	0.5666666667	
84525.8792336782	84467.5718441606	376.5073721118	84526.3618838787	84525.8792336782	0.0004432435	0.0626666667	0.5666666667	
