Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
84638.9145879944	84664.1487732530	598.3474421007	84645.1143464446	84638.9145879944	0.0040202033	0.7686666667	0.4666666667	
84634.0497037768	84663.4675875306	598.3411041881	84638.9283681909	84634.0497037768	0.0032686675	0.5400000000	0.4666666667	
84631.2582329909	84661.4512458444	597.6475907501	84635.2162636320	84631.2582329909	0.0026917457	0.7213333333	0.4666666667	
84625.7215364774	84631.0618564487	597.9916043322	84636.4223053058	84625.7215364774	0.0037516407	0.8000000000	0.4666666667	
84620.9045660496	84620.8709493279	596.0910459256	84625.7192734877	84620.9045660496	0.0029983855	0.5786666667	0.5000000000	
84618.3685255051	84620.0995221734	596.6442336868	84627.9966020584	84618.3685255051	0.0028849481	0.7413333333	0.5000000000	
84615.5566763878	84618.9975067973	597.4647229039	84619.0105394522	84615.5566763878	0.0020812611	0.4080000000	0.5000000000	
84612.4747490883	84618.4802934527	598.9924778126	84617.5713280837	84612.4747490883	0.0025973909	0.4853333333	0.5000000000	
84610.5930691957	84618.2697817683	599.5286266228	84612.7424410979	84610.5930691957	0.0021441278	0.4180000000	0.5000000000	
84608.0911596616	84616.9035956264	600.7644400671	84611.2258493900	84608.0911596616	0.0021977410	0.4953333333	0.5000000000	
84604.7116982937	84614.4640341401	600.9254370045	84609.3521275123	84604.7116982937	0.0027857116	0.6300000000	0.5000000000	
84601.9761101405	84614.4640341401	601.3894406726	84605.2278379599	84601.9761101405	0.0017825655	0.4273333333	0.5000000000	
84599.4595273336	84614.2882809043	601.1194020541	84602.7801209688	84599.4595273336	0.0017259794	0.4073333333	0.5000000000	
84597.1212355296	84613.2457479835	600.9429422439	84600.3332448006	84597.1212355296	0.0022631199	0.4513333333	0.5000000000	
84592.5404028098	84610.5882033706	599.2496496277	84598.2400836547	84592.5404028098	0.0020965977	0.4293333333	0.5000000000	
84590.5941209197	84609.9440082908	599.4239627518	84593.3266512553	84590.5941209197	0.0017464282	0.3680000000	0.5000000000	
84588.9295837283	84609.7150608897	600.1920116143	84592.1178085605	84588.9295837283	0.0015688115	0.2833333333	0.5000000000	
