Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
84663.7849752108	84637.5252366066	404.8782096801	84664.4603186846	84663.7849752108	0.0003527542	0.0000000000	0.6333333333	
84663.1872745355	84637.3688131571	404.7790801208	84663.4138321877	84663.1872745355	0.0000532849	0.0180000000	0.6333333333	
84662.3670289914	84637.3688131571	405.4890652231	84662.7372568846	84662.3670289914	0.0002002876	0.0180000000	0.6333333333	
84660.8208721876	84635.7526540756	406.8801317656	84660.9875990947	84660.8208721876	0.0001201003	0.0260000000	0.6333333333	
84660.2543105682	84631.1820775270	406.8962950379	84660.6071895361	84660.2543105682	0.0000859924	0.0626666667	0.6333333333	
84659.8631459475	84631.0937136412	406.8725331158	84659.9244566758	84659.8631459475	0.0001104120	0.0106666667	0.6333333333	
84658.6126426856	84630.8748811483	405.9394874626	84658.6194000642	84658.6126426856	0.0000476563	0.0000000000	0.6333333333	
84657.9196647803	84626.2878090143	406.2800522560	84658.0951952934	84657.9196647803	0.0000370423	0.0333333333	0.6333333333	
84657.4577039480	84626.2878090143	405.9373555251	84657.5816881657	84657.4577039480	0.0002154423	0.0393333333	0.6333333333	
84657.1178962787	84626.2878090143	406.0382766852	84657.7826704582	84657.1178962787	0.0004086228	0.1353333333	0.6333333333	
84656.2359680732	84626.2878090143	406.4818425166	84656.3352898757	84656.2359680732	0.0002093803	0.0253333333	0.6333333333	
84655.8740750949	84626.2878090143	406.2723999210	84655.9893820683	84655.8740750949	0.0000798897	0.0413333333	0.6333333333	
84655.0902142127	84626.2878090143	406.5468276385	84655.1712099711	84655.0902142127	0.0001418330	0.0000000000	0.6333333333	
84654.3963962793	84626.2878090143	406.8443925660	84654.6142641703	84654.3963962793	0.0000280257	0.0266666667	0.6333333333	
84654.2365962267	84626.2186497450	406.7684881151	84654.2834260066	84654.2365962267	0.0001375897	0.0106666667	0.6333333333	
84653.5971742868	84626.2186497450	406.4326062377	84653.6109143496	84653.5971742868	0.0000965984	0.0146666667	0.6333333333	
84653.0234835545	84626.2186497450	406.5119034456	84653.3798861504	84653.0234835545	0.0000635451	0.0726666667	0.6333333333	
84652.5158435106	84625.9670078754	406.0297662620	84652.8606365124	84652.5158435106	0.0001698710	0.0386666667	0.6333333333	
84651.9658650955	84625.9670078754	405.6545230945	84652.0907606681	84651.9658650955	0.0001462572	0.0186666667	0.6333333333	
84651.4602812131	84625.9670078754	405.3817122182	84651.6790954272	84651.4602812131	0.0001484761	0.0106666667	0.6333333333	
84650.6921046972	84625.9670078754	405.0748336391	84650.8477995793	84650.6921046972	0.0000046741	0.0073333333	0.6333333333	
84650.3716444969	84625.4280835390	405.1228612088	84650.4247663419	84650.3716444969	0.0000853752	0.0313333333	0.6333333333	
84650.2118374904	84625.4280835390	405.2584415257	84650.2730069558	84650.2118374904	0.0000233562	0.0000000000	0.6333333333	
84649.8080897331	84625.4280835390	405.4707664690	84649.8080897331	84649.8080897331	0.0000059806	0.0000000000	0.6333333333	
84648.9998110135	84622.1491426229	405.4622648127	84649.2199546099	84648.9998110135	0.0000733220	0.0253333333	0.6333333333	
84648.2693479459	84622.1491426229	405.5993682135	84648.4703314304	84648.2693479459	0.0002964160	0.0206666667	0.6333333333	
84647.7423050006	84622.0216602087	405.8163888243	84647.8684029977	84647.7423050006	0.0001490797	0.0286666667	0.6333333333	
84647.6697307825	84621.8871176243	405.8504828914	84647.6787002881	84647.6697307825	0.0000074511	0.0000000000	0.6333333333	
84646.3137966394	84621.8871176243	404.4793934171	84646.3806070884	84646.3137966394	0.0000224739	0.0000000000	0.6333333333	
84645.8024203777	84621.8871176243	404.0733089469	84645.8063354095	84645.8024203777	0.0000423106	0.0013333333	0.6333333333	
84645.4016592105	84621.8871176243	404.3542250475	84645.4190856218	84645.4016592105	0.0000611979	0.0220000000	0.6333333333	
84644.9830879768	84621.8871176243	404.0614553633	84645.2074337006	84644.9830879768	0.0000638871	0.0173333333	0.6333333333	
84644.9182299773	84621.8871176243	404.0655684743	84644.9182299773	84644.9182299773	0.0000000000	0.0000000000	0.6333333333	
84644.8358354966	84621.8871176243	404.0783362986	84644.8673415184	84644.8358354966	0.0000080734	0.0126666667	0.6333333333	
84644.5267319679	84621.8871176243	404.1136022938	84644.5978599787	84644.5267319679	0.0000101980	0.0160000000	0.6333333333	
84644.2194388310	84621.8871176243	403.9677166221	84644.2703102032	84644.2194388310	0.0000089232	0.0140000000	0.6333333333	
