Mean	Median	StdDev	Max	Min	Entropy	Hamming
84930.6296557188	84930.6296557188	0.0000000000	84930.6296557188	84930.6296557188	0.0000000000	0.0000000000	
84930.2967518568	84930.2967518568	0.0000000000	84930.6296557188	84930.2967518568	0.0008699225	0.0000000000	
84930.2967518568	84930.2967518568	0.0000000000	84930.2967518568	84930.2967518568	0.0000000000	0.0000000000	
84930.2967518568	84930.2967518568	0.0000000000	84930.2967518568	84930.2967518568	0.0000000000	0.0000000000	
84930.0935596228	84930.0935596228	0.0000000000	84930.0935596228	84930.0935596228	0.0000000000	0.0000000000	
84930.0935596228	84930.0935596228	0.0000000000	84930.0935596228	84930.0935596228	0.0000000000	0.0000000000	
84930.0935596228	84930.0935596228	0.0000000000	84930.0935596228	84930.0935596228	0.0000000000	0.0000000000	
84930.0935596228	84930.0935596228	0.0000000000	84930.0935596228	84930.0935596228	0.0000000000	0.0000000000	
84930.0935596228	84930.0935596228	0.0000000000	84930.0935596228	84930.0935596228	0.0000000000	0.0000000000	
84930.0935596228	84930.0935596228	0.0000000000	84930.0935596228	84930.0935596228	0.0000000000	0.0000000000	
84930.0935596228	84930.0935596228	0.0000000000	84930.0935596228	84930.0935596228	0.0000000000	0.0000000000	
84930.0935596228	84930.0935596228	0.0000000000	84930.0935596228	84930.0935596228	0.0000000000	0.0000000000	
84930.0935596228	84930.0935596228	0.0000000000	84930.0935596228	84930.0935596228	0.0000000000	0.0000000000	
84930.0935596228	84930.0935596228	0.0000000000	84930.0935596228	84930.0935596228	0.0000000000	0.0000000000	
84930.0935596228	84930.0935596228	0.0000000000	84930.0935596228	84930.0935596228	0.0000000000	0.0000000000	
84930.0935596228	84930.0935596228	0.0000000000	84930.0935596228	84930.0935596228	0.0000000000	0.0000000000	
84930.0935596228	84930.0935596228	0.0000000000	84930.0935596228	84930.0935596228	0.0000000000	0.0000000000	
84930.0935596228	84930.0935596228	0.0000000000	84930.0935596228	84930.0935596228	0.0000000000	0.0000000000	
84930.0935596228	84930.0935596228	0.0000000000	84930.0935596228	84930.0935596228	0.0000000000	0.0000000000	
84930.0935596228	84930.0935596228	0.0000000000	84930.0935596228	84930.0935596228	0.0000000000	0.0000000000	
84930.0935596228	84930.0935596228	0.0000000000	84930.0935596228	84930.0935596228	0.0000000000	0.0000000000	
84930.0935596228	84930.0935596228	0.0000000000	84930.0935596228	84930.0935596228	0.0000000000	0.0000000000	
84930.0935596228	84930.0935596228	0.0000000000	84930.0935596228	84930.0935596228	0.0000000000	0.0000000000	
84926.4783710241	84926.4783710241	0.0000000000	84930.0935596228	84926.4783710241	0.0005985579	0.1600000000	
84926.4783710241	84926.4783710241	0.0000000000	84926.4783710241	84926.4783710241	0.0000000000	0.0000000000	
84926.4783710241	84926.4783710241	0.0000000000	84926.4783710241	84926.4783710241	0.0000000000	0.0000000000	
84924.5621353388	84924.5621353388	0.0000000000	84926.4783710241	84924.5621353388	0.0006886887	0.0000000000	
84924.5621353388	84924.5621353388	0.0000000000	84924.5621353388	84924.5621353388	0.0000000000	0.0000000000	
84924.5621353388	84924.5621353388	0.0000000000	84924.5621353388	84924.5621353388	0.0000000000	0.0000000000	
84924.5621353388	84924.5621353388	0.0000000000	84924.5621353388	84924.5621353388	0.0000000000	0.0000000000	
84923.7148851156	84923.7148851156	0.0000000000	84924.5621353388	84923.7148851156	0.0008540798	1.3400000000	
84918.8868969679	84918.8868969679	0.0000000000	84923.7148851156	84918.8868969679	0.0073688331	0.1600000000	
84918.6963886023	84918.6963886023	0.0000000000	84918.6963886023	84918.6963886023	0.0000000000	0.0000000000	
84918.1850939989	84918.1850939989	0.0000000000	84918.4412688017	84918.1850939989	0.0000892322	0.1400000000	
84918.1850939989	84918.1850939989	0.0000000000	84918.1850939989	84918.1850939989	0.0000000000	0.0000000000	
84916.6271895170	84916.6271895170	0.0000000000	84918.1850939989	84916.6271895170	0.0009065585	0.2400000000	
84916.2197560072	84916.2197560072	0.0000000000	84916.6271895170	84916.2197560072	0.0002656015	0.0000000000	
84916.2197560072	84916.2197560072	0.0000000000	84916.2197560072	84916.2197560072	0.0000000000	0.0000000000	
84916.2197560072	84916.2197560072	0.0000000000	84916.2197560072	84916.2197560072	0.0000000000	0.0000000000	
84916.2197560072	84916.2197560072	0.0000000000	84916.2197560072	84916.2197560072	0.0000000000	0.0000000000	
84916.2197560072	84916.2197560072	0.0000000000	84916.2197560072	84916.2197560072	0.0000000000	0.0000000000	
84916.2197560072	84916.2197560072	0.0000000000	84916.2197560072	84916.2197560072	0.0000000000	0.0000000000	
84916.2197560072	84916.2197560072	0.0000000000	84916.2197560072	84916.2197560072	0.0000000000	0.0000000000	
84916.2197560072	84916.2197560072	0.0000000000	84916.2197560072	84916.2197560072	0.0000000000	0.0000000000	
84916.2197560072	84916.2197560072	0.0000000000	84916.2197560072	84916.2197560072	0.0000000000	0.0000000000	
84916.2197560072	84916.2197560072	0.0000000000	84916.2197560072	84916.2197560072	0.0000000000	0.0000000000	
84916.2197560072	84916.2197560072	0.0000000000	84916.2197560072	84916.2197560072	0.0000000000	0.0000000000	
84916.0309523344	84916.0309523344	0.0000000000	84916.2197560072	84916.0309523344	0.0001019797	0.1600000000	
